grid, u, T, D, Y_C2H4, Y_H2, Y_H, Y_O2, Y_O, Y_H2O, Y_CO, Y_CO2, Y_OH, Y_HCO, Y_HO2, Y_H2O2, Y_C2H3, Y_C2H2, Y_CH4, Y_CH3, Y_CH2, Y_CH2O, Y_CH2CHO, Y_N2, Qdot
2.767187500000e-02, 5.965011154556e-01, 3.003792259418e+02, 1.167381960899e+00, 6.372355136821e-02, 6.292695402919e-05, 4.118307414037e-15, 2.180406886139e-01, 4.602940084082e-11, 2.469781020760e-05, 8.629604046191e-06, 3.441096160507e-07, 2.435335282533e-10, 1.755348962542e-13, 1.571679679135e-07, 8.851942395613e-08, 1.466736661655e-13, 1.425275635494e-07, 4.353865015863e-07, 6.356528244863e-08, 1.142816237857e-13, 6.219824869459e-08, 1.925847934637e-11, 7.181382118657e-01, 1.657693167207e+02
2.767968750000e-02, 5.966896325169e-01, 3.004589287265e+02, 1.167013140319e+00, 6.372246642223e-02, 6.649331628781e-05, 5.020145136190e-15, 2.180365920624e-01, 5.533206645142e-11, 2.975715281199e-05, 1.056619921666e-05, 4.462738435445e-07, 2.913977412834e-10, 2.106828052385e-13, 1.922982670545e-07, 1.084814662407e-07, 1.758300221392e-13, 1.801362894301e-07, 5.253800141912e-07, 7.666001709857e-08, 1.373679936991e-13, 8.066945053560e-08, 2.308306288531e-11, 7.181325145774e-01, 2.045663751816e+02
2.768359375000e-02, 5.967972509389e-01, 3.005051084684e+02, 1.166802696802e+00, 6.372183065213e-02, 6.835589976906e-05, 5.552944526093e-15, 2.180342291415e-01, 6.071693908289e-11, 3.267874366536e-05, 1.169867218879e-05, 5.087741416197e-07, 3.189403304976e-10, 2.309962337479e-13, 2.128354364199e-07, 1.201612612473e-07, 1.926554180100e-13, 2.026810079964e-07, 5.774118248133e-07, 8.422801522259e-08, 1.507273950685e-13, 9.197748761145e-08, 2.528506550991e-11, 7.181294084160e-01, 2.278948486753e+02
2.768750000000e-02, 5.969151385122e-01, 3.005561750566e+02, 1.166572259459e+00, 6.372112146114e-02, 7.027374785191e-05, 6.149026560599e-15, 2.180316217704e-01, 6.666197084440e-11, 3.590200443737e-05, 1.295912744451e-05, 5.805863153893e-07, 3.492266319725e-10, 2.534124962934e-13, 2.356894462922e-07, 1.331659481554e-07, 2.111996147831e-13, 2.282146504265e-07, 6.348657053723e-07, 9.258234582876e-08, 1.654773368540e-13, 1.049780171537e-07, 2.771612264355e-11, 7.181261113621e-01, 2.544231005525e+02
2.769140625000e-02, 5.970443447621e-01, 3.006126436165e+02, 1.166319801785e+00, 6.372033001242e-02, 7.224847387099e-05, 6.817314443506e-15, 2.180287429523e-01, 7.322838305307e-11, 3.945797459989e-05, 1.436199388862e-05, 6.630951374081e-07, 3.825393293294e-10, 2.781591787206e-13, 2.611218080519e-07, 1.476451785523e-07, 2.316469921698e-13, 2.571326032426e-07, 6.983050545892e-07, 1.018045336067e-07, 1.817676083639e-13, 1.199243799534e-07, 3.040056972024e-11, 7.181226090774e-01, 2.846729449866e+02
2.769531250000e-02, 5.971860281115e-01, 3.006750831803e+02, 1.166043090529e+00, 6.371944639921e-02, 7.428173442483e-05, 7.567960766678e-15, 2.180255626664e-01, 8.048471540222e-11, 4.338086303119e-05, 1.592331908373e-05, 7.578905965725e-07, 4.191926658664e-10, 3.054955430284e-13, 2.894235662780e-07, 1.637653578789e-07, 2.542054332699e-13, 2.898823329279e-07, 7.683514504935e-07, 1.119845160860e-07, 1.997674759405e-13, 1.371077408401e-07, 3.336597032142e-11, 7.181188860785e-01, 3.192669954254e+02
2.769921875000e-02, 5.973414670953e-01, 3.007441222480e+02, 1.165739665163e+00, 6.371845951627e-02, 7.637522999029e-05, 8.412701483029e-15, 2.180220475305e-01, 8.850780984357e-11, 4.770836627722e-05, 1.766094896091e-05, 8.667981162749e-07, 4.595365119581e-10, 3.357139184501e-13, 3.209186365620e-07, 1.817114859632e-07, 2.791085000499e-13, 3.269701893538e-07, 8.456905776639e-07, 1.232215031054e-07, 2.196668704072e-13, 1.568627009913e-07, 3.664353700202e-11, 7.181149256493e-01, 3.589485037980e+02
2.770312500000e-02, 5.975120726995e-01, 3.008204549067e+02, 1.165406815454e+00, 6.371735691607e-02, 7.853070546333e-05, 9.365203597154e-15, 2.180181604273e-01, 9.738394554716e-11, 5.248201759187e-05, 1.959472705046e-05, 9.919131698071e-07, 5.039610552493e-10, 3.691444545958e-13, 3.559675210890e-07, 2.016891915353e-07, 3.066191673258e-13, 3.689690837300e-07, 9.310787404713e-07, 1.356249221888e-07, 2.416789913622e-13, 1.795737326928e-07, 4.026864537112e-11, 7.181107097476e-01, 4.046067784415e+02
2.770703125000e-02, 5.976994019291e-01, 3.009048475577e+02, 1.165041556998e+00, 6.371612464824e-02, 8.074995061162e-05, 1.044145757983e-14, 2.180138600900e-01, 1.072101513497e-10, 5.774756947258e-05, 2.174671525337e-05, 1.135640918781e-06, 5.529022299682e-10, 4.061609549679e-13, 3.949714448532e-07, 2.239269792382e-07, 3.370342547663e-13, 4.165271499106e-07, 1.025350016308e-06, 1.493154580003e-07, 2.660434951465e-13, 2.056825542223e-07, 4.428145719747e-11, 7.181062189065e-01, 4.573082522021e+02
2.771093750000e-02, 5.979051727212e-01, 3.009981463102e+02, 1.164640604582e+00, 6.371474708021e-02, 8.303480042284e-05, 1.166024387741e-14, 2.180091006428e-01, 1.180957270818e-10, 6.355541258905e-05, 2.414143836045e-05, 1.300741585591e-06, 6.068480249749e-10, 4.471878130096e-13, 4.383769602616e-07, 2.486787089478e-07, 3.706896625088e-13, 4.703775105303e-07, 1.129424106864e-06, 1.644261947393e-07, 2.930302126939e-13, 2.356965785842e-07, 4.872767295839e-11, 7.181014321292e-01, 5.183344046718e+02
