grid, T, mu, alpha, diff_C2H4, diff_H2, diff_H, diff_O2, diff_O, diff_H2O, diff_CO, diff_CO2, diff_OH, diff_HCO, diff_HO2, diff_H2O2, diff_C2H3, diff_C2H2, diff_CH4, diff_CH3, diff_CH2, diff_CH2O, diff_CH2CHO, diff_N2
2.760937500000000544e-02,3.000840249172781000e+02,1.828906107293655774e-05,2.557646919632451728e-05,1.887298320313563171e-05,7.817654243269234182e-05,1.221627595722334396e-04,2.013368489287729391e-05,3.235726985557022407e-05,2.247431418131461324e-05,2.054857486253817397e-05,1.558477550861134343e-05,3.173544753154708588e-05,1.554782600217717443e-05,2.057708860722419497e-05,2.043465516285950887e-05,1.734160431531852568e-05,1.751368872468198084e-05,2.228107186318494383e-05,2.236116671310514151e-05,2.288246576123794646e-05,1.541740413370514692e-05,1.320886231818927096e-05,2.189048244093781426e-05
2.761718750000000458e-02,3.001011271172361603e+02,1.828984710375953791e-05,2.557953839815424576e-05,1.887542277040064230e-05,7.818651087986965833e-05,1.221770856366221757e-04,2.013618549784398175e-05,3.236124836111076126e-05,2.247740648540470456e-05,2.055114029920276721e-05,1.558681801834034750e-05,3.173935460645503501e-05,1.554993233281456527e-05,2.057967560922934223e-05,2.043722533728054036e-05,1.734387430151028899e-05,1.751597995953080371e-05,2.228386872414980948e-05,2.236397289625526315e-05,2.288533286396179868e-05,1.541949375200178779e-05,1.321064676425480022e-05,2.189281445219838122e-05
2.762500000000000372e-02,3.001218615688662226e+02,1.829080138966975925e-05,2.558294138155110459e-05,1.887831323580474736e-05,7.819824094808655514e-05,1.221941947169149850e-04,2.013914836008073251e-05,3.236596086438552040e-05,2.248107459963118743e-05,2.055417691548431044e-05,1.558923611824774582e-05,3.174398190202372991e-05,1.555242869089231369e-05,2.058273712627495334e-05,2.044026681671174114e-05,1.734656354796497305e-05,1.751869453511239604e-05,2.228718359103161733e-05,2.236729938839925239e-05,2.288873210322405039e-05,1.542197019567877355e-05,1.321276057115745936e-05,2.189562273221904519e-05
2.763281250000000286e-02,3.001469985922156525e+02,1.829195968916063063e-05,2.558673008739755972e-05,1.888174628484447635e-05,7.821208531958610203e-05,1.222146619156458760e-04,2.014266748669387867e-05,3.237155651905533214e-05,2.248543590657636052e-05,2.055778031715904610e-05,1.559210605354245262e-05,3.174947573135829579e-05,1.555539444307623681e-05,2.058636939673891121e-05,2.044387517999928278e-05,1.734975729170642089e-05,1.752191852908570839e-05,2.229112186998027413e-05,2.237125210286987711e-05,2.289277183619784013e-05,1.542491217279982527e-05,1.321527068729121373e-05,2.189900723528305976e-05
2.764062500000000200e-02,3.001774714735988709e+02,1.829336532607697566e-05,2.559096633792136140e-05,1.888583279025336643e-05,7.822847013914814953e-05,1.222391832470543101e-04,2.014685655970562401e-05,3.237821568439479698e-05,2.249063237667125073e-05,2.056206610462852629e-05,1.559552001868635461e-05,3.175601301637072886e-05,1.555892557216183436e-05,2.059068878301445433e-05,2.044816599157280702e-05,1.735355860798360817e-05,1.752575603404841762e-05,2.229581103042169412e-05,2.237595912468007015e-05,2.289758310554776516e-05,1.542841486933994397e-05,1.321825807246216964e-05,2.190308902779012132e-05
2.764843750000000461e-02,3.002144107886727511e+02,1.829507078058015474e-05,2.559572385486159421e-05,1.889070685162965783e-05,7.824791045866819940e-05,1.222686011227268744e-04,2.015185307851834559e-05,3.238615649385663542e-05,2.249683574862656381e-05,2.056717408143904396e-05,1.559958951522680989e-05,3.176380773057998607e-05,1.556313817704867391e-05,2.059583600708721822e-05,2.045327900785788946e-05,1.735809216635519442e-05,1.753033295090422630e-05,2.230140525030370433e-05,2.238157537870637167e-05,2.290332441591719258e-05,1.543259342005826794e-05,1.322182064877791731e-05,2.190801474443127640e-05
2.765625000000000375e-02,3.002591858923922246e+02,1.829713961093528787e-05,2.560109069592759955e-05,1.889653068343997503e-05,7.827102892311097306e-05,1.223039351896864713e-04,2.015782337227916090e-05,3.239564280262963045e-05,2.250425379921725850e-05,2.057327334639782142e-05,1.560444941491780503e-05,3.177311869450123109e-05,1.556817270837497976e-05,2.060198127539225610e-05,2.045938326684502401e-05,1.736350877578518687e-05,1.753580157908459636e-05,2.230809103678636931e-05,2.238828827813691997e-05,2.291018751342776812e-05,1.543758710892401939e-05,1.322607687168811087e-05,2.191396198052370046e-05
2.766406250000000289e-02,3.003134550460631544e+02,1.829964877330399916e-05,2.560717219531779263e-05,1.890350052801403338e-05,7.829857837200592939e-05,1.223464196345835757e-04,2.016496866317126285e-05,3.240699380104815612e-05,2.251313792983503337e-05,2.058056845312301604e-05,1.561026287499881201e-05,3.178425900498565738e-05,1.557419909322384444e-05,2.060933047797984993e-05,2.046668324457040454e-05,1.736999088307548736e-05,1.754234616958515983e-05,2.231609402536376287e-05,2.239632455718187429e-05,2.291840437691693394e-05,1.544356445123853776e-05,1.323117005046275447e-05,2.192114581521778565e-05
2.767187500000000550e-02,3.003792259417707555e+02,1.830269141965608929e-05,2.561409451101007059e-05,1.891185380622017486e-05,7.833146916805371074e-05,1.223975482948033320e-04,2.017353239859487045e-05,3.242059563919689200e-05,2.252379234397189502e-05,2.058930685835931186e-05,1.561722728251529739e-05,3.179760743724821374e-05,1.558142293376808745e-05,2.061813268476121028e-05,2.047542629974622870e-05,1.737775922255408446e-05,1.755018964070843021e-05,2.232568720183148144e-05,2.240595853366848062e-05,2.292825567223729253e-05,1.545072934079233946e-05,1.323727357388299970e-05,2.192982669995777748e-05
2.767968750000000464e-02,3.004589287265279722e+02,1.830638026899290702e-05,2.562200890152600371e-05,1.892187776165005729e-05,7.837080222858443517e-05,1.224591291888284185e-04,2.018380911434879336e-05,3.243691547794431930e-05,2.253658514583770049e-05,2.059978792519962432e-05,1.562558144046413886e-05,3.181362222686548615e-05,1.559009300238773087e-05,2.062868920671304544e-05,2.048591167257600169e-05,1.738708085512103132e-05,1.755960169698550567e-05,2.233720084102085328e-05,2.241752209690498079e-05,2.294008097184840818e-05,1.545932848275156400e-05,1.324459722863257342e-05,2.194031999396575967e-05
